date,price,open,high,low,vol,change
2015-10-09,1155.90 ,1138.10 ,1159.30 ,1138.00 ,134.87K,1.01%
2015-10-08,1144.30 ,1145.00 ,1150.90 ,1135.90 ,121.19K,-0.38%
2015-10-07,1148.70 ,1146.50 ,1153.60 ,1141.30 ,113.15K,0.20%
2015-10-06,1146.40 ,1134.70 ,1151.00 ,1134.50 ,128.18K,0.77%
2015-10-05,1137.60 ,1137.00 ,1141.60 ,1129.60 ,119.48K,0.09%
2015-10-02,1136.60 ,1112.50 ,1140.90 ,1103.80 ,190.00K,2.06%
2015-10-01,1113.70 ,1114.50 ,1118.50 ,1110.30 ,83.39K,-0.13%
2015-09-30,1115.20 ,1127.20 ,1127.70 ,1110.80 ,156.47K,-1.03%
2015-09-29,1126.80 ,1131.40 ,1134.30 ,1123.50 ,105.55K,-0.43%
2015-09-28,1131.70 ,1146.90 ,1146.90 ,1127.50 ,0.21K,-1.21%
2015-09-25,1145.60 ,1149.70 ,1149.70 ,1141.60 ,0.21K,-0.73%
2015-09-24,1154.00 ,1130.20 ,1154.90 ,1130.20 ,0.20K,1.98%
2015-09-23,1131.60 ,1124.60 ,1132.50 ,1121.70 ,0.06K,0.60%
2015-09-22,1124.90 ,1132.50 ,1135.00 ,1121.00 ,0.11K,-0.71%
2015-09-21,1133.00 ,1138.30 ,1139.20 ,1131.30 ,0.06K,-0.44%
2015-09-18,1138.00 ,1130.50 ,1139.50 ,1128.60 ,0.03K,1.87%
2015-09-17,1117.10 ,1120.80 ,1131.80 ,1116.30 ,0.03K,-0.17%
2015-09-16,1119.00 ,1105.10 ,1121.90 ,1105.10 ,0.01K,1.49%
2015-09-15,1102.60 ,1106.90 ,1107.50 ,1102.50 ,0.03K,-0.45%
2015-09-14,1107.60 ,1107.40 ,1108.10 ,1104.00 ,0.02K,0.39%
2015-09-11,1103.30 ,1111.10 ,1111.10 ,1104.00 ,0.01K,-0.54%
2015-09-10,1109.30 ,1109.40 ,1111.60 ,1109.40 ,0.01K,0.66%
2015-09-09,1102.00 ,1116.70 ,1116.70 ,1103.90 ,0.03K,-1.68%
2015-09-08,1120.80 ,1117.50 ,1124.50 ,1117.50 ,0.02K,-0.02%
2015-09-07,1121.00 ,1123.00 ,1126.00 ,1114.70 ,142.51K,-0.01%
2015-09-04,1121.10 ,1125.00 ,1126.70 ,1117.50 ,0.03K,-0.28%
2015-09-03,1124.20 ,1127.90 ,1127.90 ,1126.60 ,0.01K,-0.80%
2015-09-02,1133.30 ,1134.60 ,1134.60 ,1131.70 ,0.01K,-0.54%
2015-09-01,1139.50 ,1139.80 ,1141.00 ,1139.80 ,0.01K,0.64%
